"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18550501219037440,17841403684060377,nadsongl,Nadson,"2026 é o nosso ano 🙌🏾🙌🏾",20,"01/01/2026 13:37",https://www.instagram.com/reel/DS-7-smgX2y/,"Reel do Instagram",,Total,2440,2057,63,2,1,12,2
18082413287324629,17841403684060377,nadsongl,Nadson,"O importante é participar",12,"01/01/2026 11:48",https://www.instagram.com/reel/DS-vmwygQ4d/,"Reel do Instagram",,Total,25980,15372,165,9,1,6,2
18096725942494914,17841403684060377,nadsongl,Nadson,"O nome do peixe é pinote 🏃🏾💨",31,"01/16/2026 11:09",https://www.instagram.com/reel/DTlS647gUJX/,"Reel do Instagram",,Total,1609,1221,68,18,0,9,1
18069833141428754,17841403684060377,nadsongl,Nadson,"Ja se relacionou com gnt assim? 😮‍💨",36,"01/15/2026 09:18",https://www.instagram.com/reel/DTihPyPDoX-/,"Reel do Instagram",,Total,1566,1311,86,9,3,4,14
18051856421444812,17841403684060377,nadsongl,Nadson,"Me quebrou 🤦🏾‍♀️",18,"01/14/2026 09:36",https://www.instagram.com/reel/DTf-jg6jjEC/,"Reel do Instagram",,Total,2067,1339,62,1,35,5,1
17870102589516205,17841403684060377,nadsongl,Nadson,"Plmdds Cebola 🤦🏾‍♀️",28,"01/14/2026 08:27",https://www.instagram.com/reel/DTf2yMJjrqy/,"Reel do Instagram",,Total,1881,1400,91,6,3,9,3
18102859528691343,17841403684060377,nadsongl,Nadson,"Meta o louco!",23,"01/13/2026 12:49",https://www.instagram.com/reel/DTdv9i0gVJc/,"Reel do Instagram",,Total,2274,1820,116,12,2,1,15
18052807568418824,17841403684060377,nadsongl,Nadson,"Não compensa perder a cabeça atoa",33,"01/13/2026 08:27",https://www.instagram.com/reel/DTdSCNIjkHw/,"Reel do Instagram",,Total,2101,1670,122,10,1,7,3
18310922077252681,17841403684060377,nadsongl,Nadson,"Vc é uma pessoa competitiva ou não tem coragem de ser?",79,"01/13/2026 08:18",https://www.instagram.com/reel/DTdQ-qmjlr8/,"Reel do Instagram",,Total,1897,1652,63,3,1,4,6
18087165959107880,17841403684060377,nadsongl,Nadson,"Vc é uma pessoa competitiva ou não tem coragem de ser?",79,"01/13/2026 06:11",https://www.instagram.com/reel/DTdCcxDji8E/,"Reel do Instagram",,Total,1914,1604,78,6,0,2,14
18080070461219885,17841403684060377,nadsongl,Nadson,"Vc cuida de vc mesmo ou espera alguém vir para cuidar?",60,"01/12/2026 11:12",https://www.instagram.com/reel/DTbAKS1AWTn/,"Reel do Instagram",,Total,2029,1739,90,13,2,6,7
18090026929995796,17841403684060377,nadsongl,Nadson,"Seja intocável!",55,"01/12/2026 10:57",https://www.instagram.com/reel/DTa-XAzAfc4/,"Reel do Instagram",,Total,1967,1682,95,7,0,3,16
18164927353402698,17841403684060377,nadsongl,Nadson,"Eu com TDAH mandando essa braba no samba 🤣",69,"01/12/2026 08:46",https://www.instagram.com/reel/DTavU48DvZH/,"Reel do Instagram",,Total,2376,1980,116,8,0,14,2
