id;post_id;account_id;username;account_name;description;duration;published_at;permalink;post_type;views;reach;likes;shares;follows;comments;saves;created_at;updated_at
c02d8c83-db9e-4af8-9976-e668496d91d4;18089698688014346;17841403684060377;nadsongl;Nadson;Inclusive ta td caro 😅;9;2027-08-01 17:39:00+00;https://www.instagram.com/reel/DTv-CLKgX-6/;Reel do Instagram;1512;1157;109;1;0;1;2;2026-02-07 20:12:02.330474+00;2026-02-16 18:21:34.745131+00
50363fe4-d6fc-4cf9-9daa-7aecbef64973;18386735818147951;17841403684060377;nadsongl;Nadson;Não ande cm gnt assim 🤦🏾‍♀️;32;2027-08-01 11:14:00+00;https://www.instagram.com/reel/DTvSDyLDrEk/;Reel do Instagram;1509;1198;99;4;1;12;4;2026-02-07 20:12:02.816844+00;2026-02-16 18:21:34.745131+00
c9e83c86-97d7-4882-b30d-5b278525ad85;18278838484304774;17841403684060377;nadsongl;Nadson;Banalizaram o uso do laele 🤦🏾‍♀️;22;2027-05-01 13:29:00+00;https://www.instagram.com/reel/DTnzJNojp1n/;Reel do Instagram;2837;1791;153;8;0;9;2;2026-02-07 20:11:58.976863+00;2026-02-16 18:21:34.745131+00
3fa1c5f4-a9a7-4d49-8a7e-a4f3336c23eb;17963547213009228;17841403684060377;nadsongl;Nadson;Talvez eu esteja ficando louco 🤔;20;2027-05-01 11:16:00+00;https://www.instagram.com/reel/DTnj7osDip_/;Reel do Instagram;1996;1537;157;17;1;2;1;2026-02-07 20:11:59.567642+00;2026-02-16 18:21:34.745131+00
186684fc-1f1f-44c0-8d20-05d5f731e959;18069833141428754;17841403684060377;nadsongl;Nadson;Ja se relacionou com gnt assim? 😮‍💨;36;2027-03-01 12:18:00+00;https://www.instagram.com/reel/DTihPyPDoX-/;Reel do Instagram;1712;1424;93;9;3;6;14;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
27d1b1d9-fbd6-4907-9747-c0ce2592e997;18051856421444812;17841403684060377;nadsongl;Nadson;Me quebrou 🤦🏾‍♀️;18;2027-02-01 12:36:00+00;https://www.instagram.com/reel/DTf-jg6jjEC/;Reel do Instagram;2162;1384;66;1;35;7;1;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
0a41a333-fb9c-44db-8076-0dd59f1cab4f;17870102589516205;17841403684060377;nadsongl;Nadson;Plmdds Cebola 🤦🏾‍♀️;28;2027-02-01 11:27:00+00;https://www.instagram.com/reel/DTf2yMJjrqy/;Reel do Instagram;1956;1450;93;6;3;9;3;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
f0e6497c-c266-4d2e-8164-d73477d8c26c;18102859528691343;17841403684060377;nadsongl;Nadson;Meta o louco!;23;2027-01-01 15:49:00+00;https://www.instagram.com/reel/DTdv9i0gVJc/;Reel do Instagram;2354;1867;120;14;2;1;16;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
7610e339-f6fb-4a39-bc04-75594bd83395;18305751205249825;17841403684060377;nadsongl;Nadson;Burrice é uma doença;58;2026-08-01 15:11:00+00;https://www.instagram.com/reel/DTQzo_AAVEw/;Reel do Instagram;2311;1916;185;16;2;9;11;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
0afc7097-d102-4b64-aa26-636299b55bf4;18067749362531673;17841403684060377;nadsongl;Nadson;Quem precisa de motivação é viciado;49;2026-07-01 15:12:00+00;https://www.instagram.com/reel/DTOO7IrgTDc/;Reel do Instagram;3223;2464;202;29;4;9;23;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
8a0b9852-08b8-438b-a5b3-2433a9cf445f;18074784467064008;17841403684060377;nadsongl;Nadson;Estresse zero 🧘🏾;16;2026-07-01 09:41:00+00;https://www.instagram.com/reel/DTNpD4cDqy4/;Reel do Instagram;2801;2001;113;15;0;8;2;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
d1bc49f3-f389-4294-8082-0eb375344e78;17945078994087774;17841403684060377;nadsongl;Nadson;Fica o aprendizado!;62;2026-06-01 14:16:00+00;https://www.instagram.com/reel/DTLjzyLAZ8r/;Reel do Instagram;2747;2178;134;65;0;9;5;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
04950343-c058-446c-a2c6-9d6a4b58d2f6;18297519322274955;17841403684060377;nadsongl;Nadson;Como lidar com gente folgada;47;2026-06-01 10:12:00+00;https://www.instagram.com/reel/DTLHz7MjtQQ/;Reel do Instagram;3002;2332;223;13;6;4;17;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
b53bf7b0-7e18-46ef-8fbf-b877fdb6e8fd;17995642841888936;17841403684060377;nadsongl;Nadson;Tenha amigos loucos;21;2026-05-01 15:51:00+00;https://www.instagram.com/reel/DTJJlRvAcJ7/;Reel do Instagram;3121;2104;151;14;4;14;3;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
2f5b7f35-678e-4c29-8c59-c08991b1244b;17981429918952565;17841403684060377;nadsongl;Nadson;Nem tudo que é óbvio é trivial pt 2;102;2026-05-01 13:57:00+00;https://www.instagram.com/reel/DTI81llAeFy/;Reel do Instagram;3064;2489;217;22;10;8;17;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
86f964e2-18e5-4feb-9b6d-beeede656d60;18092487155298218;17841403684060377;nadsongl;Nadson;Perder o medo do resultado.;54;2026-09-01 12:49:00+00;https://www.instagram.com/reel/DTTIRwJDvXC/;Reel do Instagram;435;357;21;2;1;3;3;2026-02-07 20:41:04.849165+00;2026-02-07 21:07:57.084806+00
